,Rank,Date,Team,Acquired,Relinquished,Notes
37813,37813,2024-02-25,NOP,,CJ McCollum,injured
37814,37814,2024-02-27,NOP,CJ McCollum,,returned
37815,37815,2023-11-29,HOU,,Fred VanVleet,injured
37816,37816,2023-12-01,HOU,Fred VanVleet,,returned
37817,37817,2024-01-21,HOU,,Fred VanVleet,injured
37818,37818,2024-01-23,HOU,Fred VanVleet,,returned
37819,37819,2024-02-06,HOU,,Fred VanVleet,injured
37820,37820,2024-02-22,HOU,Fred VanVleet,,returned
37821,37821,2024-04-12,HOU,,Fred VanVleet,injured
37822,37822,2024-04-14,HOU,Fred VanVleet,,returned
37823,37823,2023-10-25,WAS,,Landry Shamet,injured
37824,37824,2023-10-31,WAS,Landry Shamet,,returned
37825,37825,2023-12-06,WAS,,Landry Shamet,injured
37826,37826,2023-12-21,WAS,Landry Shamet,,returned
37827,37827,2024-01-05,WAS,,Landry Shamet,injured
37828,37828,2024-01-07,WAS,Landry Shamet,,returned
37829,37829,2024-01-10,WAS,,Landry Shamet,injured
37830,37830,2024-02-13,WAS,Landry Shamet,,returned
37831,37831,2024-01-31,WAS,,Landry Shamet,injured
37832,37832,2024-02-01,WAS,Landry Shamet,,returned
37833,37833,2024-03-08,WAS,,Landry Shamet,injured
37834,37834,2024-03-09,WAS,Landry Shamet,,returned
37835,37835,2024-03-12,WAS,,Landry Shamet,injured
37836,37836,2024-04-14,WAS,Landry Shamet,,returned
37837,37837,2023-10-25,HOU,,Victor Oladipo,injured
37838,37838,2024-02-01,HOU,Victor Oladipo,,returned
37839,37839,2024-02-02,HOU,,Victor Oladipo,injured
37840,37840,2024-02-08,HOU,Victor Oladipo,,returned
37841,37841,2023-11-01,NYK,,RJ Barrett,injured
37842,37842,2023-11-05,NYK,RJ Barrett,,returned
37843,37843,2023-11-13,NYK,,RJ Barrett,injured
37844,37844,2023-11-14,NYK,RJ Barrett,,returned
37845,37845,2023-11-15,NYK,,RJ Barrett,injured
37846,37846,2023-11-17,NYK,RJ Barrett,,returned
37847,37847,2024-01-28,NYK,,RJ Barrett,injured
37848,37848,2024-02-03,NYK,RJ Barrett,,returned
37849,37849,2024-02-05,NYK,,RJ Barrett,injured
37850,37850,2024-02-06,NYK,RJ Barrett,,returned
37851,37851,2024-02-23,NYK,,RJ Barrett,injured
37852,37852,2024-02-25,NYK,RJ Barrett,,returned
37853,37853,2024-03-09,NYK,,RJ Barrett,injured
37854,37854,2024-03-10,NYK,RJ Barrett,,returned
37855,37855,2024-03-13,NYK,,RJ Barrett,injured
37856,37856,2024-03-27,NYK,RJ Barrett,,returned
37857,37857,2024-04-03,NYK,,RJ Barrett,injured
37858,37858,2024-04-04,NYK,RJ Barrett,,returned
37859,37859,2024-04-10,NYK,,RJ Barrett,injured
37860,37860,2024-04-11,NYK,RJ Barrett,,returned
37861,37861,2024-04-14,NYK,,RJ Barrett,injured
37862,37862,2024-04-16,NYK,RJ Barrett,,returned
37863,37863,2023-12-11,ATL,,De'Andre Hunter,injured
37864,37864,2023-12-15,ATL,De'Andre Hunter,,returned
37865,37865,2023-12-22,ATL,,De'Andre Hunter,injured
37866,37866,2024-01-29,ATL,De'Andre Hunter,,returned
37867,37867,2024-02-02,ATL,,De'Andre Hunter,injured
37868,37868,2024-02-03,ATL,De'Andre Hunter,,returned
37869,37869,2024-02-10,ATL,,De'Andre Hunter,injured
37870,37870,2024-02-11,ATL,De'Andre Hunter,,returned
37871,37871,2024-04-10,ATL,,De'Andre Hunter,injured
37872,37872,2024-04-11,ATL,De'Andre Hunter,,returned
37873,37873,2023-10-25,DET,,Monte Morris,injured
37874,37874,2024-01-23,DET,Monte Morris,,returned
37875,37875,2024-03-08,DET,,Monte Morris,injured
37876,37876,2024-03-15,DET,Monte Morris,,returned
37877,37877,2023-11-25,UTA,,Lauri Markkanen,injured
37878,37878,2023-12-12,UTA,Lauri Markkanen,,returned
37879,37879,2023-12-14,UTA,,Lauri Markkanen,injured
37880,37880,2023-12-15,UTA,Lauri Markkanen,,returned
37881,37881,2023-12-21,UTA,,Lauri Markkanen,injured
37882,37882,2023-12-22,UTA,Lauri Markkanen,,returned
37883,37883,2024-03-04,UTA,,Lauri Markkanen,injured
37884,37884,2024-03-17,UTA,Lauri Markkanen,,returned
37885,37885,2024-03-20,UTA,,Lauri Markkanen,injured
37886,37886,2024-03-21,UTA,Lauri Markkanen,,returned
37887,37887,2024-03-23,UTA,,Lauri Markkanen,injured
37888,37888,2024-03-24,UTA,Lauri Markkanen,,returned
37889,37889,2024-03-29,UTA,,Lauri Markkanen,injured
37890,37890,2024-04-14,UTA,Lauri Markkanen,,returned
37891,37891,2023-12-01,DAL,,Luka Dončić,injured
37892,37892,2023-12-02,DAL,Luka Dončić,,returned
37893,37893,2023-12-22,DAL,,Luka Dončić,injured
37894,37894,2023-12-23,DAL,Luka Dončić,,returned
37895,37895,2023-12-28,DAL,,Luka Dončić,injured
37896,37896,2023-12-29,DAL,Luka Dončić,,returned
37897,37897,2024-01-05,DAL,,Luka Dončić,injured
37898,37898,2024-01-06,DAL,Luka Dončić,,returned
37899,37899,2024-01-11,DAL,,Luka Dončić,injured
37900,37900,2024-01-16,DAL,Luka Dončić,,returned
37901,37901,2024-01-31,DAL,,Luka Dončić,injured
37902,37902,2024-02-02,DAL,Luka Dončić,,returned
37903,37903,2024-03-14,DAL,,Luka Dončić,injured
37904,37904,2024-03-16,DAL,Luka Dončić,,returned
37905,37905,2024-04-05,DAL,,Luka Dončić,injured
37906,37906,2024-04-06,DAL,Luka Dončić,,returned
37907,37907,2024-04-12,DAL,,Luka Dončić,injured
37908,37908,2024-04-14,DAL,Luka Dončić,,returned
37909,37909,2023-10-25,CHA,,Cody Martin,injured
37910,37910,2023-12-22,CHA,Cody Martin,,returned
37911,37911,2024-01-08,CHA,,Cody Martin,injured
37912,37912,2024-01-13,CHA,Cody Martin,,returned
37913,37913,2024-01-22,CHA,,Cody Martin,injured
37914,37914,2024-01-23,CHA,Cody Martin,,returned
37915,37915,2024-02-04,CHA,,Cody Martin,injured
37916,37916,2024-02-06,CHA,Cody Martin,,returned
37917,37917,2024-03-03,CHA,,Cody Martin,injured
37918,37918,2024-04-14,CHA,Cody Martin,,returned
37919,37919,2024-01-05,CHI,,Patrick Williams,injured
37920,37920,2024-01-07,CHI,Patrick Williams,,returned
37921,37921,2024-01-13,CHI,,Patrick Williams,injured
37922,37922,2024-01-17,CHI,Patrick Williams,,returned
37923,37923,2024-01-28,CHI,,Patrick Williams,injured
37924,37924,2024-04-14,CHI,Patrick Williams,,returned
37925,37925,2023-11-03,DAL,,Maxi Kleber,injured
37926,37926,2023-11-08,DAL,Maxi Kleber,,returned
37927,37927,2023-11-10,DAL,,Maxi Kleber,injured
37928,37928,2024-01-12,DAL,Maxi Kleber,,returned
37929,37929,2024-01-26,DAL,,Maxi Kleber,injured
37930,37930,2024-01-27,DAL,Maxi Kleber,,returned
37931,37931,2024-02-14,DAL,,Maxi Kleber,injured
37932,37932,2024-02-15,DAL,Maxi Kleber,,returned
37933,37933,2024-02-28,DAL,,Maxi Kleber,injured
37934,37934,2024-02-29,DAL,Maxi Kleber,,returned
37935,37935,2024-04-05,DAL,,Maxi Kleber,injured
37936,37936,2024-04-06,DAL,Maxi Kleber,,returned
37937,37937,2024-04-14,DAL,,Maxi Kleber,injured
37938,37938,2024-04-16,DAL,Maxi Kleber,,returned
37939,37939,2023-11-09,MIL,,Damian Lillard,injured
37940,37940,2023-11-12,MIL,Damian Lillard,,returned
37941,37941,2024-01-08,MIL,,Damian Lillard,injured
37942,37942,2024-01-10,MIL,Damian Lillard,,returned
37943,37943,2024-02-06,MIL,,Damian Lillard,injured
37944,37944,2024-02-08,MIL,Damian Lillard,,returned
37945,37945,2024-03-30,MIL,,Damian Lillard,injured
37946,37946,2024-04-01,MIL,Damian Lillard,,returned
37947,37947,2024-04-02,MIL,,Damian Lillard,injured
37948,37948,2024-04-04,MIL,Damian Lillard,,returned
37949,37949,2024-04-12,MIL,,Damian Lillard,injured
37950,37950,2024-04-14,MIL,Damian Lillard,,returned
37951,37951,2023-11-15,MIL,,Giannis Antetokounmpo,injured
37952,37952,2023-11-16,MIL,Giannis Antetokounmpo,,returned
37953,37953,2024-01-17,MIL,,Giannis Antetokounmpo,injured
37954,37954,2024-01-19,MIL,Giannis Antetokounmpo,,returned
37955,37955,2024-03-04,MIL,,Giannis Antetokounmpo,injured
37956,37956,2024-03-05,MIL,Giannis Antetokounmpo,,returned
37957,37957,2024-03-17,MIL,,Giannis Antetokounmpo,injured
37958,37958,2024-03-20,MIL,Giannis Antetokounmpo,,returned
37959,37959,2024-04-05,MIL,,Giannis Antetokounmpo,injured
37960,37960,2024-04-06,MIL,Giannis Antetokounmpo,,returned
37961,37961,2024-04-10,MIL,,Giannis Antetokounmpo,injured
37962,37962,2024-04-14,MIL,Giannis Antetokounmpo,,returned
37963,37963,2023-10-30,MIA,,Bam Adebayo,injured
37964,37964,2023-10-31,MIA,Bam Adebayo,,returned
37965,37965,2023-11-22,MIA,,Bam Adebayo,injured
37966,37966,2023-11-24,MIA,Bam Adebayo,,returned
37967,37967,2023-11-25,MIA,,Bam Adebayo,injured
37968,37968,2023-11-27,MIA,Bam Adebayo,,returned
37969,37969,2023-12-02,MIA,,Bam Adebayo,injured
37970,37970,2023-12-17,MIA,Bam Adebayo,,returned
37971,37971,2024-03-20,MIA,,Bam Adebayo,injured
37972,37972,2024-03-21,MIA,Bam Adebayo,,returned
37973,37973,2024-01-09,MEM,,Jaren Jackson Jr.,injured
37974,37974,2024-01-11,MEM,Jaren Jackson Jr.,,returned
37975,37975,2024-01-13,MEM,,Jaren Jackson Jr.,injured
37976,37976,2024-01-14,MEM,Jaren Jackson Jr.,,returned
37977,37977,2024-02-04,MEM,,Jaren Jackson Jr.,injured
37978,37978,2024-02-07,MEM,Jaren Jackson Jr.,,returned
37979,37979,2024-02-15,MEM,,Jaren Jackson Jr.,injured
37980,37980,2024-02-22,MEM,Jaren Jackson Jr.,,returned
37981,37981,2024-03-01,MEM,,Jaren Jackson Jr.,injured
37982,37982,2024-03-05,MEM,Jaren Jackson Jr.,,returned
37983,37983,2024-03-12,MEM,,Jaren Jackson Jr.,injured
37984,37984,2024-03-15,MEM,Jaren Jackson Jr.,,returned
37985,37985,2024-04-05,MEM,,Jaren Jackson Jr.,injured
37986,37986,2024-04-14,MEM,Jaren Jackson Jr.,,returned
37987,37987,2023-11-04,ORL,,Wendell Carter Jr.,injured
37988,37988,2023-12-19,ORL,Wendell Carter Jr.,,returned
37989,37989,2023-12-29,ORL,,Wendell Carter Jr.,injured
37990,37990,2023-12-30,ORL,Wendell Carter Jr.,,returned
37991,37991,2024-01-05,ORL,,Wendell Carter Jr.,injured
37992,37992,2024-01-14,ORL,Wendell Carter Jr.,,returned
37993,37993,2024-03-06,ORL,,Wendell Carter Jr.,injured
37994,37994,2024-03-07,ORL,Wendell Carter Jr.,,returned
37995,37995,2023-10-31,ORL,,Jonathan Isaac,injured
37996,37996,2023-11-01,ORL,Jonathan Isaac,,returned
37997,37997,2023-11-06,ORL,,Jonathan Isaac,injured
37998,37998,2023-11-08,ORL,Jonathan Isaac,,returned
37999,37999,2023-11-26,ORL,,Jonathan Isaac,injured
38000,38000,2023-11-30,ORL,Jonathan Isaac,,returned
38001,38001,2023-12-06,ORL,,Jonathan Isaac,injured
38002,38002,2023-12-11,ORL,Jonathan Isaac,,returned
38003,38003,2023-12-26,ORL,,Jonathan Isaac,injured
38004,38004,2024-01-12,ORL,Jonathan Isaac,,returned
38005,38005,2024-01-22,ORL,,Jonathan Isaac,injured
38006,38006,2024-01-25,ORL,Jonathan Isaac,,returned
38007,38007,2024-02-27,ORL,,Jonathan Isaac,injured
38008,38008,2024-03-02,ORL,Jonathan Isaac,,returned
38009,38009,2024-03-06,ORL,,Jonathan Isaac,injured
38010,38010,2024-03-07,ORL,Jonathan Isaac,,returned
38011,38011,2024-03-17,ORL,,Jonathan Isaac,injured
38012,38012,2024-03-18,ORL,Jonathan Isaac,,returned
38013,38013,2024-03-30,ORL,,Jonathan Isaac,injured
38014,38014,2024-03-31,ORL,Jonathan Isaac,,returned
38015,38015,2023-11-15,BOS,,Jaylen Brown,injured
38016,38016,2023-11-16,BOS,Jaylen Brown,,returned
38017,38017,2023-12-28,BOS,,Jaylen Brown,injured
38018,38018,2023-12-29,BOS,Jaylen Brown,,returned
38019,38019,2024-01-15,BOS,,Jaylen Brown,injured
38020,38020,2024-01-16,BOS,Jaylen Brown,,returned
38021,38021,2024-02-04,BOS,,Jaylen Brown,injured
38022,38022,2024-02-06,BOS,Jaylen Brown,,returned
38023,38023,2024-02-14,BOS,,Jaylen Brown,injured
38024,38024,2024-02-22,BOS,Jaylen Brown,,returned
38025,38025,2024-03-12,BOS,,Jaylen Brown,injured
38026,38026,2024-03-13,BOS,Jaylen Brown,,returned
38027,38027,2024-03-17,BOS,,Jaylen Brown,injured
38028,38028,2024-03-18,BOS,Jaylen Brown,,returned
38029,38029,2024-03-23,BOS,,Jaylen Brown,injured
38030,38030,2024-03-24,BOS,Jaylen Brown,,returned
38031,38031,2024-04-01,BOS,,Jaylen Brown,injured
38032,38032,2024-04-02,BOS,Jaylen Brown,,returned
38033,38033,2024-04-05,BOS,,Jaylen Brown,injured
38034,38034,2024-04-06,BOS,Jaylen Brown,,returned
38035,38035,2024-04-12,BOS,,Jaylen Brown,injured
38036,38036,2024-04-14,BOS,Jaylen Brown,,returned
38037,38037,2024-02-04,WAS,,Kyle Kuzma,injured
38038,38038,2024-02-06,WAS,Kyle Kuzma,,returned
38039,38039,2024-02-14,WAS,,Kyle Kuzma,injured
38040,38040,2024-02-22,WAS,Kyle Kuzma,,returned
38041,38041,2024-03-17,WAS,,Kyle Kuzma,injured
38042,38042,2024-03-20,WAS,Kyle Kuzma,,returned
38043,38043,2024-03-25,WAS,,Kyle Kuzma,injured
38044,38044,2024-03-26,WAS,Kyle Kuzma,,returned
38045,38045,2024-03-31,WAS,,Kyle Kuzma,injured
38046,38046,2024-04-02,WAS,Kyle Kuzma,,returned
38047,38047,2024-04-05,WAS,,Kyle Kuzma,injured
38048,38048,2024-04-14,WAS,Kyle Kuzma,,returned
38049,38049,2023-11-24,PHO,,Kevin Durant,injured
38050,38050,2023-11-28,PHO,Kevin Durant,,returned
38051,38051,2023-12-08,PHO,,Kevin Durant,injured
38052,38052,2023-12-12,PHO,Kevin Durant,,returned
38053,38053,2024-01-01,PHO,,Kevin Durant,injured
38054,38054,2024-01-06,PHO,Kevin Durant,,returned
38055,38055,2023-11-24,BOS,,Jrue Holiday,injured
38056,38056,2023-11-27,BOS,Jrue Holiday,,returned
38057,38057,2023-12-31,BOS,,Jrue Holiday,injured
38058,38058,2024-01-01,BOS,Jrue Holiday,,returned
38059,38059,2024-01-21,BOS,,Jrue Holiday,injured
38060,38060,2024-01-22,BOS,Jrue Holiday,,returned
38061,38061,2024-02-07,BOS,,Jrue Holiday,injured
38062,38062,2024-02-08,BOS,Jrue Holiday,,returned
38063,38063,2024-03-11,BOS,,Jrue Holiday,injured
38064,38064,2024-03-12,BOS,Jrue Holiday,,returned
38065,38065,2024-03-18,BOS,,Jrue Holiday,injured
38066,38066,2024-03-27,BOS,Jrue Holiday,,returned
38067,38067,2024-04-14,BOS,,Jrue Holiday,injured
38068,38068,2024-04-16,BOS,Jrue Holiday,,returned
38069,38069,2023-11-04,ORL,,Gary Harris,injured
38070,38070,2023-11-14,ORL,Gary Harris,,returned
38071,38071,2023-12-27,ORL,,Gary Harris,injured
38072,38072,2023-12-30,ORL,Gary Harris,,returned
38073,38073,2024-01-05,ORL,,Gary Harris,injured
38074,38074,2024-02-01,ORL,Gary Harris,,returned
38075,38075,2024-02-14,ORL,,Gary Harris,injured
38076,38076,2024-02-15,ORL,Gary Harris,,returned
38077,38077,2024-02-25,ORL,,Gary Harris,injured
38078,38078,2024-02-26,ORL,Gary Harris,,returned
38079,38079,2024-03-06,ORL,,Gary Harris,injured
38080,38080,2024-03-07,ORL,Gary Harris,,returned
38081,38081,2024-03-23,ORL,,Gary Harris,injured
38082,38082,2024-03-28,ORL,Gary Harris,,returned
38083,38083,2024-03-30,ORL,,Gary Harris,injured
38084,38084,2024-03-31,ORL,Gary Harris,,returned
38085,38085,2024-04-10,ORL,,Gary Harris,injured
38086,38086,2024-04-11,ORL,Gary Harris,,returned
38087,38087,2023-11-08,GSW,,Gary Payton II,injured
38088,38088,2023-11-10,GSW,Gary Payton II,,returned
38089,38089,2023-11-19,GSW,,Gary Payton II,injured
38090,38090,2023-11-24,GSW,Gary Payton II,,returned
38091,38091,2023-11-30,GSW,,Gary Payton II,injured
38092,38092,2023-12-29,GSW,Gary Payton II,,returned
38093,38093,2024-01-04,GSW,,Gary Payton II,injured
38094,38094,2024-02-09,GSW,Gary Payton II,,returned
38095,38095,2024-02-22,GSW,,Gary Payton II,injured
38096,38096,2024-02-23,GSW,Gary Payton II,,returned
38097,38097,2024-03-09,GSW,,Gary Payton II,injured
38098,38098,2024-03-10,GSW,Gary Payton II,,returned
38099,38099,2024-04-11,GSW,,Gary Payton II,injured
38100,38100,2024-04-14,GSW,Gary Payton II,,returned
38101,38101,2023-12-22,PHI,,De'Anthony Melton,injured
38102,38102,2023-12-25,PHI,De'Anthony Melton,,returned
38103,38103,2024-01-02,PHI,,De'Anthony Melton,injured
38104,38104,2024-01-09,PHI,De'Anthony Melton,,returned
38105,38105,2024-01-15,PHI,,De'Anthony Melton,injured
38106,38106,2024-02-22,PHI,De'Anthony Melton,,returned
38107,38107,2024-03-01,PHI,,De'Anthony Melton,injured
38108,38108,2024-04-09,PHI,De'Anthony Melton,,returned
38109,38109,2023-11-14,GSW,,Stephen Curry,injured
38110,38110,2023-11-17,GSW,Stephen Curry,,returned
38111,38111,2024-01-13,GSW,,Stephen Curry,injured
38112,38112,2024-01-14,GSW,Stephen Curry,,returned
38113,38113,2024-03-09,GSW,,Stephen Curry,injured
38114,38114,2024-03-15,GSW,Stephen Curry,,returned
38115,38115,2024-04-07,GSW,,Stephen Curry,injured
38116,38116,2024-04-09,GSW,Stephen Curry,,returned
38117,38117,2024-04-14,GSW,,Stephen Curry,injured
38118,38118,2024-04-16,GSW,Stephen Curry,,returned
38119,38119,2023-12-23,IND,,Bruce Brown,injured
38120,38120,2024-01-02,IND,Bruce Brown,,returned
38121,38121,2024-01-06,IND,,Bruce Brown,injured
38122,38122,2024-01-07,IND,Bruce Brown,,returned
38123,38123,2024-01-15,IND,,Bruce Brown,injured
38124,38124,2024-01-16,IND,Bruce Brown,,returned
38125,38125,2024-01-17,IND,,Bruce Brown,injured
38126,38126,2024-01-18,IND,Bruce Brown,,returned
38127,38127,2024-03-03,IND,,Bruce Brown,injured
38128,38128,2024-03-10,IND,Bruce Brown,,returned
38129,38129,2024-04-03,IND,,Bruce Brown,injured
38130,38130,2024-04-06,IND,Bruce Brown,,returned
38131,38131,2024-04-10,IND,,Bruce Brown,injured
38132,38132,2024-04-11,IND,Bruce Brown,,returned
38133,38133,2023-11-02,NOP,,Zion Williamson,injured
38134,38134,2023-11-03,NOP,Zion Williamson,,returned
38135,38135,2023-11-08,NOP,,Zion Williamson,injured
38136,38136,2023-11-09,NOP,Zion Williamson,,returned
38137,38137,2023-11-18,NOP,,Zion Williamson,injured
38138,38138,2023-11-19,NOP,Zion Williamson,,returned
38139,38139,2023-11-25,NOP,,Zion Williamson,injured
38140,38140,2023-11-26,NOP,Zion Williamson,,returned
38141,38141,2023-12-13,NOP,,Zion Williamson,injured
38142,38142,2023-12-14,NOP,Zion Williamson,,returned
38143,38143,2023-12-21,NOP,,Zion Williamson,injured
38144,38144,2023-12-22,NOP,Zion Williamson,,returned
38145,38145,2024-01-07,NOP,,Zion Williamson,injured
38146,38146,2024-01-09,NOP,Zion Williamson,,returned
38147,38147,2024-01-13,NOP,,Zion Williamson,injured
38148,38148,2024-01-14,NOP,Zion Williamson,,returned
38149,38149,2024-01-26,NOP,,Zion Williamson,injured
38150,38150,2024-01-27,NOP,Zion Williamson,,returned
38151,38151,2024-01-31,NOP,,Zion Williamson,injured
38152,38152,2024-02-01,NOP,Zion Williamson,,returned
38153,38153,2024-02-10,NOP,,Zion Williamson,injured
38154,38154,2024-02-11,NOP,Zion Williamson,,returned
38155,38155,2024-04-05,NOP,,Zion Williamson,injured
38156,38156,2024-04-06,NOP,Zion Williamson,,returned
38157,38157,2023-12-14,LAC,,Paul George,injured
38158,38158,2023-12-15,LAC,Paul George,,returned
38159,38159,2023-12-20,LAC,,Paul George,injured
38160,38160,2023-12-21,LAC,Paul George,,returned
38161,38161,2024-01-31,LAC,,Paul George,injured
38162,38162,2024-02-01,LAC,Paul George,,returned
38163,38163,2024-02-25,LAC,,Paul George,injured
38164,38164,2024-02-29,LAC,Paul George,,returned
38165,38165,2024-03-10,LAC,,Paul George,injured
38166,38166,2024-03-11,LAC,Paul George,,returned
38167,38167,2024-04-10,LAC,,Paul George,injured
38168,38168,2024-04-11,LAC,Paul George,,returned
38169,38169,2024-04-14,LAC,,Paul George,injured
38170,38170,2024-04-16,LAC,Paul George,,returned
38171,38171,2023-11-06,DET,,Joe Harris,injured
38172,38172,2023-12-07,DET,Joe Harris,,returned
38173,38173,2023-12-21,POR,,Shaedon Sharpe,injured
38174,38174,2023-12-31,POR,Shaedon Sharpe,,returned
38175,38175,2024-01-12,POR,,Shaedon Sharpe,injured
38176,38176,2024-01-16,POR,Shaedon Sharpe,,returned
38177,38177,2024-01-17,POR,,Shaedon Sharpe,injured
38178,38178,2024-03-25,POR,Shaedon Sharpe,,returned
38179,38179,2024-03-29,POR,,Shaedon Sharpe,injured
38180,38180,2024-04-14,POR,Shaedon Sharpe,,returned
38181,38181,2023-12-11,UTA,,John Collins,injured
38182,38182,2023-12-17,UTA,John Collins,,returned
38183,38183,2024-03-16,UTA,,John Collins,injured
38184,38184,2024-03-17,UTA,John Collins,,returned
38185,38185,2024-03-21,UTA,,John Collins,injured
38186,38186,2024-03-22,UTA,John Collins,,returned
38187,38187,2024-03-31,UTA,,John Collins,injured
38188,38188,2024-04-14,UTA,John Collins,,returned
38189,38189,2023-11-01,SAC,,De'Aaron Fox,injured
38190,38190,2023-11-12,SAC,De'Aaron Fox,,returned
38191,38191,2023-12-16,SAC,,De'Aaron Fox,injured
38192,38192,2023-12-17,SAC,De'Aaron Fox,,returned
38193,38193,2024-02-28,SAC,,De'Aaron Fox,injured
38194,38194,2024-03-03,SAC,De'Aaron Fox,,returned
38195,38195,2023-12-11,CLE,,Evan Mobley,injured
38196,38196,2024-01-28,CLE,Evan Mobley,,returned
38197,38197,2024-02-01,CLE,,Evan Mobley,injured
38198,38198,2024-02-02,CLE,Evan Mobley,,returned
38199,38199,2024-02-03,CLE,,Evan Mobley,injured
38200,38200,2024-02-04,CLE,Evan Mobley,,returned
38201,38201,2024-03-06,CLE,,Evan Mobley,injured
38202,38202,2024-03-23,CLE,Evan Mobley,,returned
38203,38203,2023-11-08,LAL,,Anthony Davis,injured
38204,38204,2023-11-09,LAL,Anthony Davis,,returned
38205,38205,2023-12-15,LAL,,Anthony Davis,injured
38206,38206,2023-12-17,LAL,Anthony Davis,,returned
38207,38207,2024-01-30,LAL,,Anthony Davis,injured
38208,38208,2024-02-02,LAL,Anthony Davis,,returned
